Date,Date,Date
01/01/2003,01/01/2003,622
01/01/2004,01/01/2004,459
01/01/2005,01/01/2005,546
01/01/2006,01/01/2006,621
01/01/2007,01/01/2007,538
01/01/2008,01/01/2008,555
01/01/2009,01/01/2009,606
01/01/2010,01/01/2010,569
01/01/2011,01/01/2011,650
01/01/2012,01/01/2012,530
01/01/2013,01/01/2013,627
01/01/2014,01/01/2014,488
01/01/2015,01/01/2015,553
01/01/2016,01/01/2016,567
01/01/2017,01/01/2017,483
01/01/2018,01/01/2018,424
01/02/2003,01/02/2003,411
01/02/2004,01/02/2004,348
01/02/2005,01/02/2005,304
01/02/2006,01/02/2006,269
01/02/2007,01/02/2007,359
01/02/2008,01/02/2008,394
01/02/2009,01/02/2009,330
01/02/2010,01/02/2010,368
01/02/2011,01/02/2011,305
01/02/2012,01/02/2012,293
01/02/2013,01/02/2013,397
01/02/2014,01/02/2014,387
01/02/2015,01/02/2015,433
01/02/2016,01/02/2016,396
01/02/2017,01/02/2017,386
01/02/2018,01/02/2018,352
01/03/2003,01/03/2003,440
01/03/2004,01/03/2004,354
01/03/2005,01/03/2005,322
01/03/2006,01/03/2006,363
01/03/2007,01/03/2007,333
01/03/2008,01/03/2008,387
01/03/2009,01/03/2009,400
01/03/2010,01/03/2010,356
01/03/2011,01/03/2011,363
01/03/2012,01/03/2012,367
01/03/2013,01/03/2013,349
01/03/2014,01/03/2014,427
01/03/2015,01/03/2015,444
01/03/2016,01/03/2016,316
01/03/2017,01/03/2017,411
01/03/2018,01/03/2018,375
01/04/2003,01/04/2003,347
01/04/2004,01/04/2004,351
01/04/2005,01/04/2005,378
01/04/2006,01/04/2006,373
01/04/2007,01/04/2007,361
01/04/2008,01/04/2008,362
01/04/2009,01/04/2009,350
01/04/2010,01/04/2010,328
01/04/2011,01/04/2011,379
01/04/2012,01/04/2012,388
01/04/2013,01/04/2013,410
01/04/2014,01/04/2014,368
01/04/2015,01/04/2015,335
01/04/2016,01/04/2016,366
01/04/2017,01/04/2017,375
01/04/2018,01/04/2018,412
01/05/2003,01/05/2003,377
01/05/2004,01/05/2004,429
01/05/2005,01/05/2005,402
01/05/2006,01/05/2006,420
01/05/2007,01/05/2007,386
01/05/2008,01/05/2008,351
01/05/2009,01/05/2009,341
01/05/2010,01/05/2010,341
01/05/2011,01/05/2011,410
01/05/2012,01/05/2012,436
01/05/2013,01/05/2013,386
01/05/2014,01/05/2014,320
01/05/2015,01/05/2015,459
01/05/2016,01/05/2016,382
01/05/2017,01/05/2017,418
01/05/2018,01/05/2018,416
01/06/2003,01/06/2003,400
01/06/2004,01/06/2004,390
01/06/2005,01/06/2005,411
01/06/2006,01/06/2006,452
01/06/2007,01/06/2007,387
01/06/2008,01/06/2008,375
01/06/2009,01/06/2009,421
01/06/2010,01/06/2010,373
01/06/2011,01/06/2011,376
01/06/2012,01/06/2012,399
01/06/2013,01/06/2013,342
01/06/2014,01/06/2014,393
01/06/2015,01/06/2015,417
01/06/2016,01/06/2016,360
01/06/2017,01/06/2017,445
01/06/2018,01/06/2018,411
01/07/2003,01/07/2003,418
01/07/2004,01/07/2004,445
01/07/2005,01/07/2005,381
01/07/2006,01/07/2006,398
01/07/2007,01/07/2007,397
01/07/2008,01/07/2008,390
01/07/2009,01/07/2009,418
01/07/2010,01/07/2010,331
01/07/2011,01/07/2011,382
01/07/2012,01/07/2012,351
01/07/2013,01/07/2013,397
01/07/2014,01/07/2014,376
01/07/2015,01/07/2015,397
01/07/2016,01/07/2016,429
01/07/2017,01/07/2017,407
01/07/2018,01/07/2018,402
01/08/2003,01/08/2003,528
01/08/2004,01/08/2004,417
01/08/2005,01/08/2005,343
01/08/2006,01/08/2006,348
01/08/2007,01/08/2007,339
01/08/2008,01/08/2008,380
01/08/2009,01/08/2009,368
01/08/2010,01/08/2010,356
01/08/2011,01/08/2011,354
01/08/2012,01/08/2012,347
01/08/2013,01/08/2013,354
01/08/2014,01/08/2014,430
01/08/2015,01/08/2015,394
01/08/2016,01/08/2016,444
01/08/2017,01/08/2017,368
01/08/2018,01/08/2018,327
01/09/2003,01/09/2003,417
01/09/2004,01/09/2004,400
01/09/2005,01/09/2005,361
01/09/2006,01/09/2006,380
01/09/2007,01/09/2007,418
01/09/2008,01/09/2008,397
01/09/2009,01/09/2009,360
01/09/2010,01/09/2010,354
01/09/2011,01/09/2011,339
01/09/2012,01/09/2012,324
01/09/2013,01/09/2013,430
01/09/2014,01/09/2014,392
01/09/2015,01/09/2015,509
01/09/2016,01/09/2016,407
01/09/2017,01/09/2017,375
01/09/2018,01/09/2018,361
01/10/2003,01/10/2003,399
01/10/2004,01/10/2004,421
01/10/2005,01/10/2005,373
01/10/2006,01/10/2006,386
01/10/2007,01/10/2007,431
01/10/2008,01/10/2008,360
01/10/2009,01/10/2009,406
01/10/2010,01/10/2010,358
01/10/2011,01/10/2011,351
01/10/2012,01/10/2012,395
01/10/2013,01/10/2013,425
01/10/2014,01/10/2014,465
01/10/2015,01/10/2015,424
01/10/2016,01/10/2016,402
01/10/2017,01/10/2017,411
01/10/2018,01/10/2018,393
01/11/2003,01/11/2003,363
01/11/2004,01/11/2004,339
01/11/2005,01/11/2005,466
01/11/2006,01/11/2006,407
01/11/2007,01/11/2007,358
01/11/2008,01/11/2008,379
01/11/2009,01/11/2009,378
01/11/2010,01/11/2010,361
01/11/2011,01/11/2011,372
01/11/2012,01/11/2012,402
01/11/2013,01/11/2013,390
01/11/2014,01/11/2014,395
01/11/2015,01/11/2015,368
01/11/2016,01/11/2016,362
01/11/2017,01/11/2017,382
01/11/2018,01/11/2018,362
01/12/2003,01/12/2003,324
01/12/2004,01/12/2004,425
01/12/2005,01/12/2005,448
01/12/2006,01/12/2006,398
01/12/2007,01/12/2007,403
01/12/2008,01/12/2008,425
01/12/2009,01/12/2009,346
01/12/2010,01/12/2010,370
01/12/2011,01/12/2011,383
01/12/2012,01/12/2012,437
01/12/2013,01/12/2013,407
01/12/2014,01/12/2014,369
01/12/2015,01/12/2015,439
01/12/2016,01/12/2016,409
01/12/2017,01/12/2017,379
01/12/2018,01/12/2018,409
01/13/2003,01/13/2003,398
01/13/2004,01/13/2004,453
01/13/2005,01/13/2005,415
01/13/2006,01/13/2006,425
01/13/2007,01/13/2007,377
01/13/2008,01/13/2008,378
01/13/2009,01/13/2009,422
01/13/2010,01/13/2010,389
01/13/2011,01/13/2011,370
01/13/2012,01/13/2012,422
01/13/2013,01/13/2013,340
01/13/2014,01/13/2014,399
01/13/2015,01/13/2015,422
01/13/2016,01/13/2016,421
01/13/2017,01/13/2017,451
01/13/2018,01/13/2018,399
01/14/2003,01/14/2003,406
01/14/2004,01/14/2004,454
01/14/2005,01/14/2005,438
01/14/2006,01/14/2006,337
01/14/2007,01/14/2007,302
01/14/2008,01/14/2008,420
01/14/2009,01/14/2009,384
01/14/2010,01/14/2010,405
01/14/2011,01/14/2011,391
01/14/2012,01/14/2012,383
01/14/2013,01/14/2013,375
01/14/2014,01/14/2014,457
01/14/2015,01/14/2015,475
01/14/2016,01/14/2016,395
01/14/2017,01/14/2017,464
01/14/2018,01/14/2018,371
01/15/2003,01/15/2003,410
01/15/2004,01/15/2004,443
01/15/2005,01/15/2005,429
01/15/2006,01/15/2006,349
01/15/2007,01/15/2007,390
01/15/2008,01/15/2008,414
01/15/2009,01/15/2009,362
01/15/2010,01/15/2010,454
01/15/2011,01/15/2011,441
01/15/2012,01/15/2012,348
01/15/2013,01/15/2013,394
01/15/2014,01/15/2014,452
01/15/2015,01/15/2015,496
01/15/2016,01/15/2016,441
01/15/2017,01/15/2017,419
01/15/2018,01/15/2018,370
01/16/2003,01/16/2003,406
01/16/2004,01/16/2004,464
01/16/2005,01/16/2005,365
01/16/2006,01/16/2006,283
01/16/2007,01/16/2007,362
01/16/2008,01/16/2008,429
01/16/2009,01/16/2009,443
01/16/2010,01/16/2010,395
01/16/2011,01/16/2011,356
01/16/2012,01/16/2012,299
01/16/2013,01/16/2013,360
01/16/2014,01/16/2014,496
01/16/2015,01/16/2015,479
01/16/2016,01/16/2016,446
01/16/2017,01/16/2017,418
01/16/2018,01/16/2018,341
01/17/2003,01/17/2003,444
01/17/2004,01/17/2004,397
01/17/2005,01/17/2005,342
01/17/2006,01/17/2006,369
01/17/2007,01/17/2007,410
01/17/2008,01/17/2008,371
01/17/2009,01/17/2009,414
01/17/2010,01/17/2010,318
01/17/2011,01/17/2011,322
01/17/2012,01/17/2012,348
01/17/2013,01/17/2013,451
01/17/2014,01/17/2014,426
01/17/2015,01/17/2015,490
01/17/2016,01/17/2016,387
01/17/2017,01/17/2017,409
01/17/2018,01/17/2018,348
01/18/2003,01/18/2003,352
01/18/2004,01/18/2004,360
01/18/2005,01/18/2005,423
01/18/2006,01/18/2006,372
01/18/2007,01/18/2007,391
01/18/2008,01/18/2008,469
01/18/2009,01/18/2009,358
01/18/2010,01/18/2010,321
01/18/2011,01/18/2011,352
01/18/2012,01/18/2012,305
01/18/2013,01/18/2013,428
01/18/2014,01/18/2014,454
01/18/2015,01/18/2015,401
01/18/2016,01/18/2016,375
01/18/2017,01/18/2017,407
01/18/2018,01/18/2018,401
01/19/2003,01/19/2003,305
01/19/2004,01/19/2004,423
01/19/2005,01/19/2005,458
01/19/2006,01/19/2006,413
01/19/2007,01/19/2007,399
01/19/2008,01/19/2008,372
01/19/2009,01/19/2009,396
01/19/2010,01/19/2010,359
01/19/2011,01/19/2011,388
01/19/2012,01/19/2012,315
01/19/2013,01/19/2013,423
01/19/2014,01/19/2014,390
01/19/2015,01/19/2015,483
01/19/2016,01/19/2016,383
01/19/2017,01/19/2017,425
01/19/2018,01/19/2018,411
01/20/2003,01/20/2003,414
01/20/2004,01/20/2004,420
01/20/2005,01/20/2005,409
01/20/2006,01/20/2006,423
01/20/2007,01/20/2007,310
01/20/2008,01/20/2008,378
01/20/2009,01/20/2009,390
01/20/2010,01/20/2010,356
01/20/2011,01/20/2011,375
01/20/2012,01/20/2012,382
01/20/2013,01/20/2013,416
01/20/2014,01/20/2014,391
01/20/2015,01/20/2015,445
01/20/2016,01/20/2016,462
01/20/2017,01/20/2017,424
01/20/2018,01/20/2018,344
01/21/2003,01/21/2003,380
01/21/2004,01/21/2004,462
01/21/2005,01/21/2005,446
01/21/2006,01/21/2006,389
01/21/2007,01/21/2007,340
01/21/2008,01/21/2008,378
01/21/2009,01/21/2009,359
01/21/2010,01/21/2010,316
01/21/2011,01/21/2011,425
01/21/2012,01/21/2012,364
01/21/2013,01/21/2013,357
01/21/2014,01/21/2014,380
01/21/2015,01/21/2015,408
01/21/2016,01/21/2016,450
01/21/2017,01/21/2017,473
01/21/2018,01/21/2018,333
01/22/2003,01/22/2003,458
01/22/2004,01/22/2004,439
01/22/2005,01/22/2005,389
01/22/2006,01/22/2006,358
01/22/2007,01/22/2007,372
01/22/2008,01/22/2008,411
01/22/2009,01/22/2009,378
01/22/2010,01/22/2010,387
01/22/2011,01/22/2011,366
01/22/2012,01/22/2012,340
