Date,Crimes
1/1/03,622
1/2/03,411
1/3/03,440
1/4/03,347
1/5/03,377
1/6/03,400
1/7/03,418
1/8/03,528
1/9/03,417
1/10/03,399
1/11/03,363
1/12/03,324
1/13/03,398
1/14/03,406
1/15/03,410
1/16/03,406
1/17/03,444
1/18/03,352
1/19/03,305
1/20/03,414
1/21/03,380
1/22/03,458
1/23/03,454
1/24/03,466
1/25/03,469
1/26/03,341
1/27/03,417
1/28/03,445
1/29/03,510
1/30/03,416
1/31/03,419
2/1/03,437
2/2/03,355
2/3/03,424
2/4/03,450
2/5/03,406
2/6/03,474
2/7/03,506
2/8/03,374
2/9/03,360
2/10/03,511
2/11/03,427
2/12/03,422
2/13/03,434
2/14/03,443
2/15/03,366
2/16/03,332
2/17/03,381
2/18/03,485
2/19/03,465
2/20/03,424
2/21/03,417
2/22/03,432
2/23/03,366
2/24/03,406
2/25/03,439
2/26/03,491
2/27/03,443
2/28/03,454
3/1/03,471
3/2/03,358
3/3/03,393
3/4/03,464
3/5/03,418
3/6/03,423
3/7/03,493
3/8/03,417
3/9/03,359
3/10/03,411
3/11/03,461
3/12/03,505
3/13/03,427
3/14/03,503
3/15/03,418
3/16/03,363
3/17/03,411
3/18/03,430
3/19/03,339
3/20/03,460
3/21/03,402
3/22/03,382
3/23/03,323
3/24/03,383
3/25/03,410
3/26/03,441
3/27/03,469
3/28/03,449
3/29/03,434
3/30/03,396
3/31/03,385
4/1/03,524
4/2/03,444
4/3/03,440
4/4/03,487
4/5/03,413
4/6/03,343
4/7/03,342
4/8/03,451
4/9/03,484
4/10/03,476
4/11/03,533
4/12/03,363
4/13/03,389
4/14/03,459
4/15/03,462
4/16/03,373
4/17/03,406
4/18/03,442
4/19/03,366
4/20/03,369
4/21/03,385
4/22/03,423
4/23/03,514
4/24/03,411
4/25/03,433
4/26/03,455
4/27/03,324
4/28/03,399
4/29/03,415
4/30/03,416
5/1/03,499
5/2/03,448
5/3/03,338
5/4/03,341
5/5/03,400
5/6/03,434
5/7/03,415
5/8/03,452
5/9/03,432
5/10/03,373
5/11/03,337
5/12/03,442
5/13/03,474
5/14/03,464
5/15/03,450
5/16/03,446
5/17/03,337
5/18/03,376
5/19/03,389
5/20/03,411
5/21/03,395
5/22/03,428
5/23/03,412
5/24/03,386
5/25/03,316
5/26/03,354
5/27/03,454
5/28/03,373
5/29/03,445
5/30/03,395
5/31/03,389
6/1/03,442
6/2/03,448
6/3/03,407
6/4/03,435
6/5/03,423
6/6/03,414
6/7/03,339
6/8/03,381
6/9/03,406
6/10/03,461
6/11/03,391
6/12/03,426
6/13/03,439
6/14/03,355
6/15/03,320
6/16/03,379
6/17/03,378
6/18/03,393
6/19/03,399
6/20/03,447
6/21/03,379
6/22/03,299
6/23/03,404
6/24/03,406
6/25/03,428
6/26/03,458
6/27/03,391
6/28/03,381
6/29/03,344
6/30/03,361
7/1/03,522
7/2/03,408
7/3/03,479
7/4/03,373
7/5/03,345
7/6/03,350
7/7/03,395
7/8/03,414
7/9/03,401
7/10/03,394
7/11/03,450
7/12/03,345
7/13/03,358
7/14/03,352
7/15/03,442
