name,lon,lat
WARRANTS,-122.3905779773482,37.734243994877076
NON-CRIMINAL,-122.3905779773482,37.734243994877076
OTHER OFFENSES,-122.44527527823908,37.77409461549996
NON-CRIMINAL,-122.44527527823908,37.77409461549996
WARRANTS,-122.40653911514815,37.75648641093089
OTHER OFFENSES,-122.43302991544815,37.776550195405136
NON-CRIMINAL,-122.40738717209818,37.781068891878135
LARCENY/THEFT,-122.44088957710389,37.71829027327711
ASSAULT,-122.41352598941764,37.710585107534435
ASSAULT,-122.40684419002676,37.78922607995485
ASSAULT,-122.49134617367876,37.750758120249294
ASSAULT,-122.384953741035,37.732638427048826
ASSAULT,-122.40653911514815,37.75648641093089
OTHER OFFENSES,-122.41304974089441,37.770052787859626
LARCENY/THEFT,-122.40589536988726,37.78673421849833
VANDALISM,-122.5048869663714,37.74455238232007
TRESPASS,-122.40653911514815,37.75648641093089
WARRANTS,-122.41969772169143,37.777300952600285
VANDALISM,-122.5048869663714,37.74455238232007
ASSAULT,-122.4124473731242,37.77563367344303
ASSAULT,-122.46472256883192,37.76416171776311
ROBBERY,-122.40684419002676,37.78922607995485
LARCENY/THEFT,-122.4076335207421,37.78418935014246
OTHER OFFENSES,-122.44778595646156,37.746437093219726
OTHER OFFENSES,-122.41750858668672,37.75390261218672
DRUNKENNESS,-122.44778307055876,37.76995495034647
OTHER OFFENSES,-122.44778307055876,37.76995495034647
ASSAULT,-122.44332450147358,37.789612303087225
OTHER OFFENSES,-122.40952991327822,37.765718439528214
OTHER OFFENSES,-122.39669429069905,37.79046010069408
VANDALISM,-122.44180455937901,37.71552950593707
OTHER OFFENSES,-122.40836857934458,37.78077842537316
OTHER OFFENSES,-122.38585549133171,37.73016913080768
OTHER OFFENSES,-122.43384306629801,37.78890624337853
OTHER OFFENSES,-122.42607958054528,37.76142677574725
FRAUD,-122.42607958054528,37.76142677574725
OTHER OFFENSES,-122.40340479147905,37.775420706711
ASSAULT,-122.40490444784115,37.79464788289231
OTHER OFFENSES,-122.4407318076358,37.7851939209085
LIQUOR LAWS,-122.44778307055876,37.76995495034647
DRUG/NARCOTIC,-122.40928602093256,37.779659320953066
OTHER OFFENSES,-122.41672098200384,37.757167781718785
SUSPICIOUS OCC,-122.43469500037432,37.79724574604885
